temp,precip,low,high
62.80869565217391,4,53.0,69.8
62.93636363636363,4,53.0,69.8
63.05714285714285,3,53.0,69.8
63.19000000000001,3,53.0,69.8
63.357894736842105,3,53.0,69.8
63.522222222222226,3,53.0,69.8
63.788235294117655,3,53.0,69.8
64.0875,3,53.0,69.8
64.28666666666666,3,53.0,69.8
64.36428571428571,3,53.0,69.8
64.33846153846153,2,53.0,69.8
64.28333333333333,2,53.0,69.8
64.13636363636364,2,53.0,69.8
63.77,2,53.0,69.8
63.333333333333336,2,53.0,69.8
62.525,2,53.0,69.0
61.6,1,53.0,68.8
60.4,1,53.0,68.8
58.720000000000006,1,53.0,66.6
56.75,1,53.0,65.0
54.0,0,53.0,54.9
53.55,0,53.0,54.1
53.0,0,53.0,53.0
53.0,0,53.0,53.0
